Episode,Avg length,Total prey reward,Avg prey reward,Total predator reward,Avg predator reward
185500,136,-75.816,-0.07632975886381901,-29.478,-0.06937178899460163
186000,139,-75.192,-0.07476027420849755,-29.724,-0.07040604556137216
186500,138,-75.14,-0.07477905878795979,-29.508,-0.07021352813314008
187000,139,-73.666,-0.07309162564433742,-30.206,-0.07056538451998247
187500,140,-74.152,-0.07414935197853244,-30.376,-0.07119788553744406
188000,136,-75.336,-0.07572140314659796,-29.622,-0.06980789860557926
188500,141,-76.886,-0.07555523318502858,-30.61,-0.07296070722424493
189000,136,-75.806,-0.07607819950331583,-30.038,-0.07057232276059422
189500,139,-75.636,-0.07514467234315202,-30.678,-0.0720590466131087
190000,138,-75.94,-0.07584528075556883,-30.578,-0.07202864380674479
190500,139,-76.502,-0.07616717259547925,-30.86,-0.0725549601795038
191000,138,-76.096,-0.07568341522599688,-30.06,-0.07054746906545327
191500,142,-74.568,-0.0738209274595394,-30.424,-0.07116935507182456
192000,140,-73.774,-0.07295251580055177,-29.958,-0.06962350101368327
192500,135,-76.45,-0.07657810154569038,-29.658,-0.07027222962723002
193000,137,-76.018,-0.07568525611707907,-30.256,-0.07158299776017059
193500,139,-75.018,-0.07418476491086372,-29.526,-0.07062248986955558
194000,138,-75.64,-0.07490513415385062,-30.386,-0.0714539928312092
194500,138,-74.836,-0.07491535078080418,-29.014,-0.06842957673213682
195000,140,-72.608,-0.07197774894516254,-29.958,-0.07043169892878817
195500,141,-73.078,-0.07293349819717783,-29.544,-0.0695884166406145
196000,139,-73.414,-0.0730351523467032,-29.13,-0.0697021631221414
196500,137,-77.088,-0.07690390846689076,-29.882,-0.07143576153499712
197000,137,-75.66,-0.07584732044994452,-29.576,-0.06951669466016121
197500,140,-75.494,-0.07516263361266039,-30.668,-0.07167287597114368
198000,139,-73.52,-0.07281196192686551,-27.972,-0.066875975833628
198500,139,-75.734,-0.07502268542096885,-29.704,-0.06978490516428616
199000,138,-73.552,-0.07293715184074455,-28.732,-0.06799080376881599
