Episode          Prey Reward      Predator Reward         Total Reward
481                  421                  702                 1123
482                   13                  602                  615
483                 3229                 4473                 7702
484                   65                 1003                 1068
485                  539                  802                 1341
486                 2880                  646                 3526
487                   19                  502                  521
488                   48                  702                  750
489                 1784                 1646                 3430
490                   38                  502                  540
491                   12                  702                  714
492                   27                  402                  429
493                  629                    2                  631
494                  429                  502                  931
495                 1467                  903                 2370
496                 4471                 4304                 8775
497                  938                  502                 1440
498                   33                  502                  535
499                 1096                  703                 1799
500                   14                  702                  716
501                   16                  402                  418
502                 1017                  903                 1920
503                 1821                  603                 2424
504                  322                  502                  824
505                   20                  502                  522
506                   25                  702                  727
507                 1697                 1962                 3659
508                   11                  802                  813
509                 1489                  503                 1992
510                   25                  702                  727
511                  799                  503                 1302
512                  439                  702                 1141
513                   73                  903                  976
514                 1747                 2017                 3764
515                   19                  602                  621
516                  555                  803                 1358
517                  339                  502                  841
518                   35                  502                  537
519                   58                 1203                 1261
520                  760                  903                 1663
521                   53                  402                  455
522                   27                  602                  629
523                 2273                    3                 2276
524                   12                  502                  514
525                 1018                  803                 1821
526                  343                  602                  945
527                  732                  502                 1234
528                  547                  502                 1049
529                  445                  702                 1147
530                  108                  803                  911
531                  778                  503                 1281
532                   18                  602                  620
533                  532                  802                 1334
534                  320                  502                  822
535                   72                  903                  975
536                   20                  702                  722
537                   18                  902                  920
538                  755                    3                  758
539                   50                  402                  452
540                 2964                  631                 3595
541                  475                  303                  778
542                   23                  702                  725
543                  878                  503                 1381
544                  933                  202                 1135
545                  959                  603                 1562
546                 3058                  623                 3681
547                   32                  602                  634
548                 2308                    3                 2311
549                  774                  503                 1277
550                 2189                  503                 2692
551                 1621                  604                 2225
552                 1730                 1111                 2841
553                   15                  702                  717
554                  753                  902                 1655
555                   10                  402                  412
556                 1616                  503                 2119
557                  648                    2                  650
558                 3166                 1915                 5081
559                 1094                    3                 1097
560                   17                  802                  819
561                  946                  502                 1448
562                   17                  502                  519
563                   54                  702                  756
564                 3698                 1061                 4759
565                   27                  502                  529
566                   38                  702                  740
567                  742                  902                 1644
568                 4492                 2332                 6824
569                  694                  403                 1097
570                   25                  802                  827
571                  961                  503                 1464
572                   63                  803                  866
573                  354                  402                  756
574                  538                  502                 1040
575                  883                  703                 1586
576                 1150                 1121                 2271
577                   46                  602                  648
578                  528                  802                 1330
579                  357                  503                  860
580                  128                 1205                 1333
581                 2038                  713                 2751
582                  451                    2                  453
583                 2347                 3394                 5741
584                   59                  803                  862
585                 2982                  743                 3725
586                   52                  202                  254
587                   24                  402                  426
588                   54                  602                  656
589                   60                 1203                 1263
590                   14                  502                  516
591                 1546                  618                 2164
592                   47                  702                  749
593                  788                  503                 1291
594                  429                  702                 1131
595                   34                  602                  636
596                 1443                  913                 2356
597                 1909                  803                 2712
598                 5862                 5099                10961
599                  679                  503                 1182
600                  429                  702                 1131
601                  913                    3                  916
602                  423                  502                  925
603                   14                  602                  616
604                   10                  802                  812
605                   13                  502                  515
606                  355                  503                  858
607                   27                  502                  529
608                   45                  702                  747
609                 1079                  903                 1982
610                  111                  803                  914
611                 2328                 1106                 3434
612                   26                  502                  528
613                   50                  702                  752
614                  535                  502                 1037
615                 2083                 1451                 3534
616                 1448                 1018                 2466
617                   29                  502                  531
618                   47                  702                  749
619                  759                  903                 1662
620                   22                  402                  424
621                   17                  602                  619
622                   31                  802                  833
623                   13                  502                  515
624                   10                  602                  612
625                   71                  603                  674
626                  963                    3                  966
627                 2087                 1450                 3537
628                   11                  502                  513
629                   41                  702                  743
630                  748                  902                 1650
631                   78                  503                  581
632                 4488                 3031                 7519
633                   16                  802                  818
634                   16                  502                  518
635                   15                  602                  617
636                  337                    2                  339
637                   38                  502                  540
638                   27                  702                  729
639                  529                  502                 1031
640                  452                  702                 1154
641                 1684                 1750                 3434
642                  823                  904                 1727
643                   19                  802                  821
644                  970                  503                 1473
645                   23                  502                  525
646                   11                  702                  713
647                  559                  503                 1062
648                   10                  702                  712
649                   80                  603                  683
650                 1315                  603                 1918
651                 1406                  603                 2009
652                  334                  502                  836
653                   26                  502                  528
654                   35                  702                  737
655                   11                  902                  913
656                  246                  502                  748
657                   43                  402                  445
658                   31                  602                  633
659                   49                  802                  851
660                  946                  502                 1448
661                   50                  502                  552
662                 2032                  710                 2742
663                   45                  302                  347
664                   27                  502                  529
665                 1662                  703                 2365
666                 2559                 1025                 3584
667                  456                  703                 1159
668                   68                  803                  871
669                 1063                  503                 1566
670                  557                  803                 1360
671                 1186                  503                 1689
672                   30                  702                  732
