Episode,Avg length,Avg prey reward,Avg predator reward
3780,480,0.03271117775729435,0.21628763491999187
3800,644,0.05405125983283697,0.21124445999520805
3820,577,0.04396961212828944,0.2104212784643993
3840,478,0.05139427383743215,0.22940961408793625
3860,598,0.04587541734282691,0.1899732126454545
3880,541,0.04479356734760142,0.2130958226155062
3900,570,0.0585542871952132,0.21521750288345606
3920,462,0.02873017862613727,0.21830154865477458
3940,518,0.036579771302387036,0.2121181878411135
3960,511,0.03195989919529808,0.21247124879184548
3980,499,0.04598053378956242,0.2369406913953608
4000,524,0.043617626673856866,0.2182956769648094
4020,536,0.01978250955937767,0.21870740383469428
4040,563,0.04469433922114909,0.22577608393219753
4060,436,0.026716652704938698,0.24131479154359164
4080,441,0.030179163112742206,0.22655240440049842
4100,555,0.04585635769737478,0.223207954852532
4120,571,0.04708175374692739,0.23613774919063296
4140,501,0.04259861839740838,0.23906468399213562
4160,552,0.037199961535318814,0.2306492405438151
4180,503,0.040339488335777184,0.23396496105401504
4200,555,0.036351415713934285,0.2159212270938297
4220,617,0.03523394357710537,0.21311303584350028
4240,583,0.03876936193277042,0.22290081580041426
4260,542,0.03600820117453432,0.22489611640468493
4280,620,0.04380868676722973,0.2150566015977457
4300,471,0.030762794252146907,0.2236940364809739
4320,528,0.030473381198059073,0.2176639076083286
4340,576,0.03136967201354163,0.21603436515456376
4360,547,0.035293182469110396,0.23516626923265038
4380,494,0.03897292860030864,0.2346986622695309
4400,508,0.03930855621501953,0.2363491499838347
4420,583,0.034158606644483065,0.21933369614003118
4440,565,0.038800406729828804,0.22926806351732193
4460,498,0.054464649452828216,0.22368116406390864
4480,546,0.046627429727665065,0.2336557946808439
4500,555,0.04129693147073395,0.21315700938440812
4520,518,0.044963767413865666,0.23063790089320566
4540,607,0.048851971457506936,0.2334410618513402
4560,662,0.048754804369807205,0.22637536874000017
4580,543,0.05817005379155008,0.23992934802637436
4600,678,0.05644070769213273,0.20644547983389133
4620,573,0.047180561122751735,0.24118515382151232
4640,443,0.04870868554260448,0.25212826654283155
4660,502,0.052072899831504746,0.24553057214417015
4680,494,0.05692080013009972,0.24153916917286966
4700,553,0.05468149770548401,0.2416804224088525
4720,674,0.06594720721834782,0.2073096269554402
4740,614,0.04130331224013985,0.21539422669379368
4760,479,0.048551185644344075,0.2455708501748577
4780,514,0.055735443061377773,0.25171392121048586
4800,654,0.04553416489616356,0.2229628304726698
4820,642,0.05156115405006848,0.23302876274603865
4840,562,0.047442526088714444,0.2412393805383369
4860,558,0.03555969723009509,0.22023759298836745
4880,517,0.07148258302929478,0.24326462072005905
4900,499,0.03559676095164605,0.23118188242716511
4920,538,0.05172410154572897,0.2302722657050711
4940,448,0.02154983935856907,0.24391235053940602
4960,652,0.02953229885181703,0.20919404324804042
4980,541,0.03304048051121579,0.2269888200819353
5000,443,0.04164454134983795,0.23655535696165714
5020,530,0.044454222599087614,0.22654767600807163
5040,427,0.04547539524965154,0.2483693485098807
5060,522,0.03631044858671975,0.23747036561331797
5080,468,0.052277442799695664,0.23693677582744663
5100,509,0.045016661512684006,0.24520850312820466
5120,550,0.05129732308532085,0.25293445638209466
5140,428,0.05825004889132882,0.2714651887417882
5160,553,0.050884227009020365,0.2538789006566457
5180,498,0.04554872908121407,0.2670535638766524
5200,513,0.06366895079516105,0.24345851810981753
5220,484,0.05697598001539579,0.25449397720884026
5240,565,0.055921109603617236,0.22818307837493657
5260,491,0.04935306560207808,0.24208330649473978
5280,507,0.04728704859812076,0.2437390958009163
5300,464,0.04876080211171092,0.25930295969392725
5320,470,0.04440550838021719,0.2523217085948031
5340,548,0.05773111445518878,0.23399070391399274
5360,424,0.043744953500966216,0.2550174676187994
5380,540,0.04031424240357123,0.2456662128168805
5400,506,0.056594726485116466,0.2605348822561451
5420,499,0.04665672878258481,0.26322894172737715
5440,500,0.044793374975356806,0.26842889061303604
5460,496,0.05409991693495066,0.2565766082638896
5480,491,0.04193829066360434,0.25971826160203965
5500,520,0.05846225892881348,0.2530779149643138
5520,488,0.03917235057046463,0.2461866426627924
5540,542,0.044725190655873256,0.26233715632043164
5560,531,0.0612152314818236,0.25662481417699257
5580,575,0.05646506950862926,0.2329859844627034
5600,492,0.05238194766815514,0.26854369844282605
5620,514,0.059850506829656,0.2557104524667948
5640,466,0.0548055517595424,0.2650267598416772
5660,536,0.0604129709315405,0.2570102178700191
5680,490,0.05781925669445853,0.24382590210177285
5700,535,0.06073844685199705,0.2607249130483175
5720,505,0.05251253400746473,0.2545952535235193
5740,522,0.056604520439865656,0.24905690935143882
5760,534,0.04013482582340677,0.24753311926440213
5780,465,0.043062821486002836,0.24575297370395938
5800,507,0.044131420832978246,0.25640571961460445
5820,520,0.05801443077669509,0.23842747843705786
5840,548,0.0405509991848927,0.2472124851177646
5860,462,0.04823455413020612,0.25017252942360463
5880,548,0.053753044783609885,0.2451629609028955
5900,625,0.05722517536926223,0.2312406642677034
5920,498,0.036890843443012925,0.25000035664160924
5940,529,0.047284061943659625,0.2534435817922326
5960,513,0.047814968091813244,0.2456409980273871
5980,385,0.050656328662615734,0.2637061189684548
6000,512,0.05262890770566882,0.24985454611986793
6020,481,0.03929704328163418,0.26018454462857743
6040,612,0.04697900484229062,0.23721715886825367
6060,573,0.045491429892707755,0.2532758583937048
6080,446,0.041854575025227284,0.2432261930594318
6100,502,0.03381242541156494,0.2390648016289197
6120,464,0.035440904649954814,0.25947312075202733
6140,433,0.02751203226104971,0.25632641661663597
6160,495,0.0399070166892638,0.25523088668464605
6180,583,0.05857225914264001,0.22709900648521847
6200,552,0.051273500774801084,0.23939274147614925
6220,609,0.05007221955600748,0.24924491715214084
6240,584,0.06418625576582379,0.24734120355408518
6260,554,0.05825282654232487,0.25254014370054423
6280,529,0.04754431303790959,0.25281340243470385
6300,542,0.058776107125190255,0.23426831936260153
6320,559,0.059592092217276196,0.252032995218323
6340,588,0.05213588638532306,0.24161857407272264
6360,524,0.060242906171470614,0.24649667338267295
6380,552,0.05968633889059867,0.25851801664721663
6400,504,0.05310251089433991,0.2564828397755421
6420,490,0.04971737079372092,0.27114452011239215
6440,593,0.054667564400240086,0.26160592662153953
6460,474,0.045305223090029115,0.26437126472489525
6480,582,0.056424618582699704,0.24748394455487177
6500,494,0.05193863988268972,0.2716582489308101
6520,470,0.0477558733640422,0.2677907478478939
6540,583,0.05176396673248673,0.2559190178337738
6560,619,0.05062774617033796,0.256231580953974
6580,581,0.0576293937402109,0.24219448149813524
6600,606,0.05692650297618222,0.241940134187155
6620,611,0.06325516867689404,0.2421370869103579
6640,614,0.060889395755872114,0.24796406804225066
6660,516,0.058727227990740684,0.25919585810030155
6680,488,0.04348603878461952,0.26236344737957445
6700,581,0.057139038516088037,0.24373754688942134
6720,587,0.06030268936388936,0.2504993152812822
6740,547,0.05193522685496804,0.2458303243360454
6760,527,0.06491391505592259,0.256532291955974
6780,634,0.05548525380772775,0.23719264384713487
6800,599,0.05745586174587024,0.2599842799004072
6820,510,0.059511027424001474,0.2568060448955416
6840,497,0.0537636816610057,0.27583392588592626
6860,553,0.06389270514718035,0.26753290675151814
6880,600,0.057190540562449176,0.24990507685433855
6900,521,0.05634851823151639,0.25165772966379446
6920,559,0.05959914756181216,0.2606328115349751
6940,683,0.06210146080419906,0.2434784472333948
6960,527,0.06656661792133603,0.2513773811281984
6980,620,0.06188280001356716,0.24751480658500644
7000,642,0.059069353152460216,0.24154859540925067
