Episode,Avg length,Avg reward
48000,597,2872.473230198625
48200,594,2924.944407686277
48400,596,2897.9686119949597
48600,576,2656.288005686514
48800,599,2955.310742004093
49000,598,2920.1616111994967
49200,592,2832.427309027147
49400,595,2802.179532005366
49600,593,2867.6925924796715
49800,583,2733.019432872964
50000,578,2645.935994067211
50200,596,2797.4617329674775
50400,591,2772.2401933452434
50600,594,2847.0336859102395
50800,595,2875.354385959906
51000,599,2928.712756012703
51200,595,2857.1600646112533
51400,595,2843.2014033130704
51600,599,2903.3493568538415
51800,599,2949.1539249092098
52000,593,2850.920487087212
52200,594,2910.581154660667
52400,594,2921.658354920417
52600,589,2773.8046520729754
52800,596,2850.5507119363797
53000,594,2773.4600868961156
